procedure_name_en,procedure_year,procedure_number,instance_date,actual_worth,procedure_area,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,area_id,area_name_en,actual_area,property_total_value,actual_area_missing
Property Evaluation,2016,4490,2016-08-29T00:00:00.000Z,1257567.0,97.36,3,Unit,42,Office,390,Burj Khalifa,97.36,1257567.0,false
Property Evaluation,2017,6238,2017-10-12T00:00:00.000Z,7500000.0,929.03,1,Land,63,Residential,318,Jumeirah Third,929.03,7500000.0,false
Property Evaluation,2016,6603,2016-12-06T00:00:00.000Z,1.1283631E7,1308.72,1,Land,62,Commercial,352,Al Thanayah Fourth,1308.73,1.1283631E7,false
Property Evaluation,2016,7013,2016-12-22T00:00:00.000Z,1.16595702E8,30860.7,1,Land,38,Residential Flats,482,Hadaeq Sheikh Mohammed Bin Rashid,31867.08,1.16595702E8,false
Property Evaluation,2016,6691,2016-12-08T00:00:00.000Z,2600000.0,385.23,2,Building,4,Villa,434,Wadi Al Safa 6,385.23,2600000.0,false
Property Evaluation,2017,3365,2017-05-22T00:00:00.000Z,1600607.0,87.42,3,Unit,60,Flat,390,Burj Khalifa,87.42,1600607.0,false
Property Evaluation,2017,5468,2017-09-06T00:00:00.000Z,3373083.0,313.37,3,Unit,42,Office,526,Business Bay,313.37,3373083.0,false
Property Evaluation,2016,5570,2016-10-24T00:00:00.000Z,1.15460587E8,1650.0,1,Land,62,Commercial,350,Al Thanyah Fifth,1650.0,1.15460587E8,false
Property Evaluation,2017,2980,2017-05-03T00:00:00.000Z,2552648.0,1077.95,1,Land,63,Residential,298,Al Warqa Third,1078.0,2552648.0,false
Property Evaluation,2017,4830,2017-08-01T00:00:00.000Z,3.2E7,5537.02,1,Land,63,Residential,231,Al Mamzer,5537.06,3.2E7,false
Property Evaluation,2017,2537,2017-04-13T00:00:00.000Z,3416394.0,2441.49,1,Land,63,Residential,399,Al Aweer Second,2441.49,3416394.0,false
Property Evaluation,2016,4376,2016-08-24T00:00:00.000Z,9000019.0,1393.55,1,Land,63,Residential,303,Um Suqaim First,1393.55,9000019.0,false
Property Evaluation,2017,3127,2017-05-09T00:00:00.000Z,4437073.0,229.01,3,Unit,60,Flat,329,Trade Center Second,229.01,4437073.0,false
Property Evaluation,2017,3202,2017-05-14T00:00:00.000Z,9203062.0,4723.72,1,Land,63,Residential,504,Madinat Hind 3,4723.72,9203062.0,false
Property Evaluation,2014,3968,2014-09-02T00:00:00.000Z,7500000.0,475.42,3,Unit,60,Flat,330,Marsa Dubai,475.42,7500000.0,false
Property Evaluation,2014,3257,2014-07-03T00:00:00.000Z,2362527.0,81.29,3,Unit,60,Flat,330,Marsa Dubai,81.29,2362527.0,false
Property Evaluation,2014,3337,2014-07-09T00:00:00.000Z,4.86492E7,7532.76,1,Land,6,Labor Camp,395,Jabal Ali Industrial First,1890.15,4.86492E7,false
Property Evaluation,2014,2792,2014-06-08T00:00:00.000Z,1878101.0,205.27,3,Unit,60,Flat,451,Al Hebiah Fifth,205.27,1878101.0,false
Property Evaluation,2014,3459,2014-07-17T00:00:00.000Z,1.05E7,1393.55,1,Land,63,Residential,374,Um Al Sheif,1393.55,1.05E7,false
Property Evaluation,2014,5021,2014-11-13T00:00:00.000Z,8000000.0,1393.55,1,Land,63,Residential,369,Al Barsha Third,1394.0,8000000.0,false
Property Evaluation,2014,4899,2014-11-09T00:00:00.000Z,3042520.0,141.33,3,Unit,60,Flat,330,Marsa Dubai,141.33,3042520.0,false
Property Evaluation,2015,3439,2015-07-06T00:00:00.000Z,1400000.0,130.51,3,Unit,60,Flat,350,Al Thanyah Fifth,130.51,1400000.0,false
Property Evaluation,2015,2605,2015-06-04T00:00:00.000Z,2952900.0,914.49,1,Land,63,Residential,335,Nad Al Shiba First,914.49,2952900.0,false
Property Evaluation,2015,2527,2015-06-04T00:00:00.000Z,2.68E7,2768.51,1,Land,65,Industrial,247,Al Khabeesi,2771.9,2.68E7,false
Property Evaluation,2015,4064,2015-08-12T00:00:00.000Z,4345285.0,230.68,3,Unit,60,Flat,330,Marsa Dubai,207.82,4345285.0,false
Property Evaluation,2016,81,2016-01-06T00:00:00.000Z,9.8107297E7,3645.79,1,Land,62,Commercial,255,Rega Al Buteen,3645.79,9.8107297E7,false
Property Evaluation,2015,4617,2015-09-14T00:00:00.000Z,1500000.0,220.83,1,Land,63,Residential,230,Abu Hail,220.83,1500000.0,false
Property Evaluation,2015,592,2015-02-10T00:00:00.000Z,4.28600059E8,265454.99,1,Land,65,Industrial,395,Jabal Ali Industrial First,265272.96,4.28600059E8,false
Property Evaluation,2015,742,2015-02-22T00:00:00.000Z,3300000.0,235.89,2,Building,4,Villa,351,Al Thanyah Third,235.89,3300000.0,false
Property Evaluation,2015,1689,2015-04-28T00:00:00.000Z,1.129212E8,5828.18,1,Land,63,Residential,526,Business Bay,5828.18,1.129212E8,false
Property Evaluation,2015,2046,2015-05-17T00:00:00.000Z,2.4502275E7,3228.84,1,Land,65,Industrial,363,Al Qusais Industrial First,3228.84,2.4502275E7,false
Property Evaluation,2016,2631,2016-05-18T00:00:00.000Z,2.3840459E7,3685.28,1,Land,63,Residential,375,Jumeirah Second,3651.0,2.3840459E7,false
Property Evaluation,2015,2681,2015-06-08T00:00:00.000Z,1.14E7,1858.06,1,Land,65,Industrial,372,Al Goze Industrial Second,1858.06,1.14E7,false
Property Evaluation,2015,4891,2015-09-29T00:00:00.000Z,1996697.0,106.0,3,Unit,60,Flat,330,Marsa Dubai,106.0,1996697.0,false
Property Evaluation,2015,2326,2015-05-31T00:00:00.000Z,5.60709E7,2741.66,1,Land,62,Commercial,356,Al Rega,2741.66,5.60709E7,false
Property Evaluation,2016,801,2016-02-17T00:00:00.000Z,2622161.0,187.39,3,Unit,60,Flat,351,Al Thanyah Third,187.39,2622161.0,false
Property Evaluation,2015,5106,2015-10-13T00:00:00.000Z,3300000.0,211.35,1,Land,63,Residential,233,Hor Al Anz,211.35,3300000.0,false
Property Evaluation,2015,5567,2015-11-08T00:00:00.000Z,1.4E7,655.83,1,Land,62,Commercial,410,Palm Jumeirah,655.83,1.4E7,false
Property Evaluation,2015,4081,2015-08-13T00:00:00.000Z,4500000.0,1045.16,1,Land,63,Residential,232,Mirdif,1045.16,4500000.0,false
Property Evaluation,2015,4843,2015-09-28T00:00:00.000Z,2.1E8,2944.24,1,Land,63,Residential,368,Al Barsha First,2944.24,2.1E8,false
Property Evaluation,2016,1776,2016-04-07T00:00:00.000Z,1.1E7,3716.12,1,Land,63,Residential,359,Al Twar Third,3716.12,1.1E7,false
Property Evaluation,2016,102,2016-01-06T00:00:00.000Z,7744333.0,572.31,3,Unit,42,Office,390,Burj Khalifa,572.31,7744333.0,false
Property Evaluation,2016,385,2016-01-25T00:00:00.000Z,1591248.0,86.96,3,Unit,60,Flat,390,Burj Khalifa,86.96,1591248.0,false
Property Evaluation,2016,1208,2016-03-10T00:00:00.000Z,9664259.0,1496.4,1,Land,62,Commercial,441,Al Barsha South Fourth,1496.4,9664259.0,false
Property Evaluation,2016,557,2016-02-02T00:00:00.000Z,365972.0,34.0,3,Unit,23,Shop,343,Al Warsan First,34.0,365972.0,false
Property Evaluation,2016,2470,2016-05-09T00:00:00.000Z,2600967.0,142.14,3,Unit,60,Flat,351,Al Thanyah Third,142.14,2600967.0,false
Property Evaluation,2015,2555,2015-06-04T00:00:00.000Z,1.55677E7,1763.76,1,Land,65,Industrial,321,Al Qusais Industrial Third,1763.76,1.55677E7,false
Property Evaluation,2015,2595,2015-06-04T00:00:00.000Z,5428000.0,854.71,1,Land,65,Industrial,372,Al Goze Industrial Second,854.71,5428000.0,false
Property Evaluation,2016,1974,2016-04-18T00:00:00.000Z,5062253.0,1959.58,1,Land,62,Commercial,467,Wadi Al Safa 5,1959.58,5062253.0,false
Property Evaluation,2015,4654,2015-09-16T00:00:00.000Z,2309666.0,2145.78,1,Land,65,Industrial,345,Al Warsan Third,2144.38,2309666.0,false
Property Evaluation,2015,5776,2015-11-17T00:00:00.000Z,4.7102934E7,2917.34,1,Land,62,Commercial,328,Al Jafliya,2917.34,4.7102934E7,false
Property Evaluation,2015,1309,2015-04-07T00:00:00.000Z,2700000.0,157.47,3,Unit,60,Flat,330,Marsa Dubai,157.84,2700000.0,false
Property Evaluation,2015,5634,2015-11-10T00:00:00.000Z,2200000.0,151.23,3,Unit,42,Office,526,Business Bay,151.23,2200000.0,false
Property Evaluation,2016,1008,2016-02-29T00:00:00.000Z,1.0399994E7,1207.74,1,Land,62,Commercial,301,Al Nahda Second,1207.74,1.0399994E7,false
Property Evaluation,2015,6419,2015-12-28T00:00:00.000Z,1953686.0,3025.06,1,Land,5,Petrol Station,333,Madinat Dubai Almelaheyah,3025.06,1953686.0,false
Property Evaluation,2016,2760,2016-05-23T00:00:00.000Z,856763.0,66.33,3,Unit,60,Flat,526,Business Bay,66.33,856763.0,false
Property Evaluation,2016,686,2016-02-10T00:00:00.000Z,1.09932055E8,7167.04,1,Land,38,Residential Flats,326,Um Hurair Second,7167.04,1.09932055E8,false
Property Evaluation,2016,1999,2016-04-18T00:00:00.000Z,5000000.0,132.76,1,Land,62,Commercial,254,Al Buteen,132.76,5000000.0,false
Property Evaluation,2015,150,2015-01-08T00:00:00.000Z,2600000.0,929.03,1,Land,63,Residential,306,Al Twar Fourth,929.01,2600000.0,false
Property Evaluation,2015,6101,2015-12-10T00:00:00.000Z,3.5999949E7,1858.06,1,Land,62,Commercial,278,Mankhool,1858.06,3.5999949E7,false
Property Evaluation,2016,1635,2016-03-30T00:00:00.000Z,2.27952169E8,42354.94,1,Land,62,Commercial,350,Al Thanyah Fifth,42354.94,2.27952169E8,false
Property Evaluation,2015,615,2015-02-11T00:00:00.000Z,2.6E7,1277.94,1,Land,62,Commercial,410,Palm Jumeirah,1277.94,2.6E7,false
